date,home_team,away_team,tournament,city,country,neutral,kickoff_utc,venue
2026-08-08,Japan,Australia,International Test Match,Osaka,Japan,False,2026-08-08T10:05Z,Hanazono Rugby Stadium
2026-08-08,Argentina,South Africa,International Test Match,Buenos Aires,Argentina,False,2026-08-08T19:00Z,Estadio José Amalfitani
2026-08-15,Australia,Japan,International Test Match,Townsville,Australia,False,2026-08-15T05:15Z,Queensland Country Bank Stadium
2026-08-22,South Africa,New Zealand,International Test Match,Johannesburg,South Africa,False,2026-08-22T15:00Z,Ellis Park
2026-08-29,South Africa,New Zealand,International Test Match,Cape Town,South Africa,False,2026-08-29T15:00Z,DHL Stadium
2026-08-29,Argentina,Australia,International Test Match,San Salvador,El Salvador,False,2026-08-29T19:00Z,Estadio 23 de Agosto
2026-09-05,Japan,Canada,International Test Match,,,False,2026-09-05T05:50Z,Denka Big Swan Stadium
2026-09-05,South Africa,New Zealand,International Test Match,Johannesburg,South Africa,False,2026-09-05T15:00Z,FNB Stadium
2026-09-05,Argentina,Australia,International Test Match,Mendoza,Argentina,False,2026-09-05T21:00Z,Estadio Malvinas Argentinas
2026-09-12,South Africa,New Zealand,International Test Match,,,True,2026-09-12T21:00Z,M&T Bank Stadium
2026-09-27,Australia,South Africa,International Test Match,Perth,Scotland,False,2026-09-27T09:45Z,Optus Stadium
2026-10-10,New Zealand,Australia,International Test Match,Auckland,New Zealand,False,2026-10-10T06:10Z,Eden Park
2026-10-17,Australia,New Zealand,International Test Match,Sydney,Australia,False,2026-10-17T05:00Z,Accor Stadium
2026-10-24,Japan,Fiji,International Test Match,Tokyo,Japan,False,2026-10-24T05:50Z,Prince Chichibu Memorial Stadium
2026-11-06,Ireland,Argentina,Nations Championship,Dublin,Ireland,False,2026-11-06T20:10Z,Aviva Stadium
2026-11-07,Italy,South Africa,Nations Championship,,,False,2026-11-07T11:40Z,Allianz Stadium
2026-11-07,Scotland,New Zealand,Nations Championship,Edinburgh,Scotland,False,2026-11-07T14:10Z,Scottish Gas Murrayfield
2026-11-07,Wales,Japan,Nations Championship,Cardiff,Wales,False,2026-11-07T16:40Z,Principality Stadium
2026-11-07,France,Fiji,Nations Championship,Lyon,France,False,2026-11-07T20:10Z,Groupama Stadium
2026-11-08,England,Australia,Nations Championship,London,England,False,2026-11-08T15:10Z,Allianz Stadium
2026-11-13,France,South Africa,Nations Championship,Saint-Denis,Reunion,False,2026-11-13T20:10Z,Stade de France
2026-11-14,Italy,Argentina,Nations Championship,Genova,Italy,False,2026-11-14T11:40Z,Stadio Luigi Ferraris
2026-11-14,Wales,New Zealand,Nations Championship,Cardiff,Wales,False,2026-11-14T14:10Z,Principality Stadium
2026-11-14,England,Japan,Nations Championship,London,England,False,2026-11-14T16:40Z,Allianz Stadium
2026-11-14,Ireland,Fiji,Nations Championship,Dublin,Ireland,False,2026-11-14T20:10Z,Aviva Stadium
2026-11-14,Paraguay,Brazil,International Test Match,,,False,2026-11-14T00:00Z,
2026-11-15,Scotland,Australia,Nations Championship,Edinburgh,Scotland,False,2026-11-15T15:10Z,Scottish Gas Murrayfield
2026-11-21,England,New Zealand,Nations Championship,London,England,False,2026-11-21T14:10Z,Allianz Stadium
2026-11-21,Scotland,Japan,Nations Championship,Edinburgh,Scotland,False,2026-11-21T14:10Z,Scottish Gas Murrayfield
2026-11-21,Ireland,South Africa,Nations Championship,Dublin,Ireland,False,2026-11-21T16:40Z,Aviva Stadium
2026-11-21,Italy,Fiji,Nations Championship,Udine,Italy,False,2026-11-21T16:40Z,Bluenergy Stadium
2026-11-21,France,Argentina,Nations Championship,Saint-Denis,Reunion,False,2026-11-21T20:10Z,Stade de France
2026-11-21,Wales,Australia,Nations Championship,Cardiff,Wales,False,2026-11-21T20:10Z,Principality Stadium
