run_at,data_through,n_sims,group,team,exp_points,exp_pdiff,p_win_pool,p_runner_up,p_third,p_fourth,p_third_advance,p_R16,p_QF,p_SF,p_final,p_champion,p_bronze
2026-06-17T13:43:49,2026-04-10,20000,B,South Africa,14.1278,110.6754,0.9212,0.0772,0.0016,0.0,0.0016,1.0,0.9649,0.619,0.4384,0.3236,0.1384
2026-06-17T13:43:49,2026-04-10,20000,E,France,14.2736,104.4334,0.9686,0.03,0.0014,0.0,0.0014,1.0,0.698,0.5998,0.2662,0.1732,0.2417
2026-06-17T13:43:49,2026-04-10,20000,A,New Zealand,12.9168,87.7386,0.6844,0.3104,0.0049,0.0003,0.0049,0.9997,0.9609,0.5343,0.3256,0.173,0.1268
2026-06-17T13:43:49,2026-04-10,20000,D,Ireland,13.2816,95.7117,0.7406,0.2571,0.0022,0.0,0.0022,1.0,0.8232,0.5715,0.3326,0.1488,0.1308
2026-06-17T13:43:49,2026-04-10,20000,C,Argentina,13.0742,91.143,0.7574,0.2327,0.0098,0.0,0.0098,1.0,0.904,0.4046,0.1882,0.0576,0.0935
2026-06-17T13:43:49,2026-04-10,20000,F,England,13.4963,94.6828,0.8634,0.1318,0.0048,0.0001,0.0048,0.9999,0.7512,0.4074,0.1846,0.056,0.0917
2026-06-17T13:43:49,2026-04-10,20000,A,Australia,10.7874,49.9176,0.3142,0.64,0.0422,0.0036,0.0404,0.9946,0.8378,0.358,0.1325,0.034,0.069
2026-06-17T13:43:49,2026-04-10,20000,D,Scotland,10.7162,52.6594,0.2585,0.7109,0.0288,0.0018,0.0274,0.9968,0.4456,0.2598,0.0888,0.0282,0.0725
2026-06-17T13:43:49,2026-04-10,20000,C,Fiji,9.8074,34.6423,0.2334,0.591,0.1674,0.0082,0.161,0.9854,0.5369,0.0926,0.0173,0.0026,0.0156
2026-06-17T13:43:49,2026-04-10,20000,B,Italy,9.1254,25.3798,0.0756,0.7408,0.1744,0.0092,0.1662,0.9826,0.3173,0.0954,0.0206,0.0025,0.0162
2026-06-17T13:43:49,2026-04-10,20000,F,Wales,8.7987,16.383,0.13,0.6408,0.1912,0.0378,0.1756,0.9464,0.3598,0.0286,0.0033,0.0002,0.0028
2026-06-17T13:43:49,2026-04-10,20000,E,Japan,6.2444,-20.0375,0.0202,0.442,0.3256,0.2122,0.267,0.7292,0.0886,0.0092,0.0009,0.0,0.0002
2026-06-17T13:43:49,2026-04-10,20000,E,Samoa,5.9188,-27.3069,0.0096,0.3818,0.3986,0.21,0.316,0.7074,0.0648,0.0072,0.0005,0.0,0.0004
2026-06-17T13:43:49,2026-04-10,20000,B,Georgia,5.4883,-33.2299,0.0032,0.1757,0.7143,0.1068,0.551,0.7298,0.0448,0.0064,0.0004,0.0,0.0004
2026-06-17T13:43:49,2026-04-10,20000,A,Chile,3.315,-64.1305,0.001,0.0344,0.526,0.4386,0.276,0.3114,0.0377,0.0013,0.0,0.0,0.0
