data_through,n_sims,group,team,exp_points,exp_pdiff,p_win_pool,p_runner_up,p_third,p_fourth,p_third_advance,p_R16,p_QF,p_SF,p_final,p_champion,p_bronze
2026-07-11,50000,B,South Africa,14.5741,126.5586,0.9842,0.0156,0.0002,0.0,0.0002,1.0,0.9789,0.6345,0.4675,0.3544,0.1354
2026-07-11,50000,A,New Zealand,13.001,97.1455,0.675,0.3226,0.0024,0.0,0.0024,1.0,0.9791,0.5786,0.3838,0.237,0.1361
2026-07-11,50000,D,Ireland,12.9702,88.6849,0.6673,0.3291,0.0035,0.0001,0.0034,0.9999,0.8388,0.6355,0.3407,0.1492,0.181
2026-07-11,50000,E,France,14.3104,108.0926,0.9703,0.0288,0.0008,0.0001,0.0008,0.9999,0.5973,0.524,0.2196,0.1192,0.2002
2026-07-11,50000,C,Argentina,13.3193,86.8424,0.7872,0.1994,0.0134,0.0001,0.0134,0.9999,0.8907,0.3436,0.163,0.0406,0.0746
2026-07-11,50000,F,England,13.2737,91.0233,0.7756,0.2172,0.0071,0.0002,0.007,0.9998,0.7945,0.3684,0.1599,0.0406,0.0839
2026-07-11,50000,A,Australia,10.9881,55.2726,0.3238,0.6358,0.0386,0.0017,0.0374,0.9971,0.8444,0.3529,0.1249,0.0301,0.069
2026-07-11,50000,D,Scotland,11.2432,59.844,0.3317,0.6472,0.0203,0.0007,0.0197,0.9987,0.5221,0.328,0.1064,0.0255,0.0885
2026-07-11,50000,F,Wales,9.9155,31.1964,0.2187,0.6558,0.1112,0.0144,0.1058,0.9802,0.518,0.0767,0.0135,0.002,0.0116
2026-07-11,50000,C,Fiji,9.9673,39.0682,0.2011,0.6587,0.1361,0.0041,0.1319,0.9916,0.4598,0.0705,0.0085,0.0007,0.0115
2026-07-11,50000,B,Italy,8.5365,7.9498,0.0141,0.7717,0.2002,0.014,0.1844,0.9702,0.2412,0.0519,0.0093,0.0006,0.0063
2026-07-11,50000,E,Samoa,5.6483,-33.3431,0.0044,0.3443,0.4206,0.2307,0.3289,0.6775,0.0618,0.0095,0.0009,0.0001,0.0005
2026-07-11,50000,E,Japan,6.5574,-15.7698,0.024,0.4915,0.308,0.1765,0.2569,0.7724,0.0796,0.015,0.0014,0.0,0.0011
2026-07-11,50000,B,Georgia,5.4932,-37.0706,0.0017,0.2019,0.6785,0.1178,0.5175,0.7211,0.0465,0.0058,0.0004,0.0,0.0002
2026-07-11,50000,A,Chile,3.602,-64.0533,0.0011,0.0356,0.5802,0.3831,0.3349,0.3716,0.0325,0.0013,0.0001,0.0,0.0
2026-07-11,50000,F,Tonga,4.7294,-40.1787,0.0055,0.1047,0.662,0.2277,0.4904,0.6007,0.0444,0.0013,0.0,0.0,0.0
2026-07-11,50000,F,Zimbabwe,1.9099,-82.0411,0.0003,0.0223,0.2198,0.7577,0.122,0.1446,0.0044,0.0003,0.0,0.0,0.0
2026-07-11,50000,E,United States,3.3413,-58.9797,0.0013,0.1354,0.2705,0.5927,0.1905,0.3273,0.0155,0.0008,0.0,0.0,0.0
2026-07-11,50000,C,Spain,5.0897,-30.3821,0.0117,0.1364,0.6534,0.1985,0.5028,0.651,0.0368,0.0008,0.0,0.0,0.0
2026-07-11,50000,D,Uruguay,2.7106,-72.7264,0.0006,0.0142,0.4468,0.5384,0.2103,0.2251,0.0034,0.0003,0.0,0.0,0.0
2026-07-11,50000,A,Hong Kong China,2.3027,-88.3648,0.0001,0.006,0.3788,0.6151,0.1603,0.1664,0.0054,0.0002,0.0,0.0,0.0
2026-07-11,50000,D,Portugal,2.9518,-75.8024,0.0003,0.0094,0.5294,0.4608,0.228,0.2378,0.0029,0.0001,0.0,0.0,0.0
2026-07-11,50000,C,Canada,1.5662,-95.5285,0.0,0.0056,0.1971,0.7974,0.0893,0.0948,0.0013,0.0,0.0,0.0,0.0
2026-07-11,50000,B,Romania,1.2697,-97.4379,0.0,0.0108,0.121,0.8682,0.0616,0.0724,0.0007,0.0,0.0,0.0,0.0
